Date,Close,High,Low,Open,Volume
,^TWII,^TWII,^TWII,^TWII,^TWII
2024-05-03,20330.3203125,20521.490234375,20272.33984375,20381.98046875,4752500
2024-05-06,20523.310546875,20639.900390625,20479.80078125,20479.80078125,4590100
2024-05-07,20653.529296875,20736.5703125,20622.3203125,20634.619140625,4547600
2024-05-08,20700.509765625,20748.30078125,20590.55078125,20604.1796875,4479700
